DateKey,Date,Day,WeekNo,Month,MonthNo,Quarter,Year
20200321,2020-03-21,Sat,12,Mar,3,1,2020
20200322,2020-03-22,Sun,13,Mar,3,1,2020
20200323,2020-03-23,Mon,13,Mar,3,1,2020
20200324,2020-03-24,Tue,13,Mar,3,1,2020
20200325,2020-03-25,Wed,13,Mar,3,1,2020
20200326,2020-03-26,Thu,13,Mar,3,1,2020
20200327,2020-03-27,Fri,13,Mar,3,1,2020
20200328,2020-03-28,Sat,13,Mar,3,1,2020
20200329,2020-03-29,Sun,14,Mar,3,1,2020
20200330,2020-03-30,Mon,14,Mar,3,1,2020
20200331,2020-03-31,Tue,14,Mar,3,1,2020
20200401,2020-04-01,Wed,14,Apr,4,2,2020
20200402,2020-04-02,Thu,14,Apr,4,2,2020
20200403,2020-04-03,Fri,14,Apr,4,2,2020
20200404,2020-04-04,Sat,14,Apr,4,2,2020
20200405,2020-04-05,Sun,15,Apr,4,2,2020
20200406,2020-04-06,Mon,15,Apr,4,2,2020
20200407,2020-04-07,Tue,15,Apr,4,2,2020
20200408,2020-04-08,Wed,15,Apr,4,2,2020
20200409,2020-04-09,Thu,15,Apr,4,2,2020
20200410,2020-04-10,Fri,15,Apr,4,2,2020
20200411,2020-04-11,Sat,15,Apr,4,2,2020
20200412,2020-04-12,Sun,16,Apr,4,2,2020
20200413,2020-04-13,Mon,16,Apr,4,2,2020
20200414,2020-04-14,Tue,16,Apr,4,2,2020
20200415,2020-04-15,Wed,16,Apr,4,2,2020
20200416,2020-04-16,Thu,16,Apr,4,2,2020
20200417,2020-04-17,Fri,16,Apr,4,2,2020
20200418,2020-04-18,Sat,16,Apr,4,2,2020
20200419,2020-04-19,Sun,17,Apr,4,2,2020
20200420,2020-04-20,Mon,17,Apr,4,2,2020
20200421,2020-04-21,Tue,17,Apr,4,2,2020
20200422,2020-04-22,Wed,17,Apr,4,2,2020
20200423,2020-04-23,Thu,17,Apr,4,2,2020
20200424,2020-04-24,Fri,17,Apr,4,2,2020
20200425,2020-04-25,Sat,17,Apr,4,2,2020
20200426,2020-04-26,Sun,18,Apr,4,2,2020
20200427,2020-04-27,Mon,18,Apr,4,2,2020
20200428,2020-04-28,Tue,18,Apr,4,2,2020
20200429,2020-04-29,Wed,18,Apr,4,2,2020
20200430,2020-04-30,Thu,18,Apr,4,2,2020
20200501,2020-05-01,Fri,18,May,5,2,2020
20200502,2020-05-02,Sat,18,May,5,2,2020
20200503,2020-05-03,Sun,19,May,5,2,2020
20200504,2020-05-04,Mon,19,May,5,2,2020
20200505,2020-05-05,Tue,19,May,5,2,2020
20200506,2020-05-06,Wed,19,May,5,2,2020
20200507,2020-05-07,Thu,19,May,5,2,2020
20200508,2020-05-08,Fri,19,May,5,2,2020
